Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1325357340,,,,,,,
1325437380,,,,,,,
1325458260,,,,,,,
1325464260,,,,,,,
1325481900,,,,,,,
1325540460,,,,,,,
1325551800,,,,,,,
1325577000,,,,,,,
1325658300,,,,,,,
1325705640,,,,,,,
1325742360,,,,,,,
1325746140,,,,,,,
1325793780,,,,,,,
1325817360,,,,,,,
1325828820,,,,,,,
1325879280,,,,,,,
1325881620,,,,,,,
1325919000,,,,,,,
1326050400,,,,,,,
1326050940,,,,,,,
1326091680,,,,,,,
1326094740,,,,,,,
1326111780,,,,,,,
1326124620,,,,,,,
1326132480,,,,,,,
1326139680,,,,,,,
1326160080,,,,,,,
1326201180,,,,,,,
1326291540,,,,,,,
1326292020,,,,,,,
1326292800,,,,,,,
1326340320,,,,,,,
1326369300,,,,,,,
1326379560,,,,,,,
1326431820,,,,,,,
1326473820,,,,,,,
1326485700,7.34,7.34,7.34,7.34,0.95231608,6.9900000272,7.34
1326486060,,,,,,,
1326505920,,,,,,,
1326525540,,,,,,,
1326538620,,,,,,,
1326539280,,,,,,,
1326650700,,,,,,,
1326700500,,,,,,,
1326741540,,,,,,,
1326772860,,,,,,,
1326818460,,,,,,,
1326850560,,,,,,,
1326863520,,,,,,,
1326944760,,,,,,,
1327002780,,,,,,,
1327023840,,,,,,,
1327033920,,,,,,,
1327039020,,,,,,,
1327043880,,,,,,,
1327047360,,,,,,,
1327136580,,,,,,,
1327202640,,,,,,,
1327220760,,,,,,,
1327255920,,,,,,,
1327259700,,,,,,,
1327266540,,,,,,,
1327363620,,,,,,,
1327397640,,,,,,,
1327408500,,,,,,,
1327442880,,,,,,,
1327458720,,,,,,,
1327484880,,,,,,,
1327514100,,,,,,,
1327571640,,,,,,,
1327589340,,,,,,,
1327600260,,,,,,,
1327620720,,,,,,,
1327638720,,,,,,,
1327642800,,,,,,,
1327678260,,,,,,,
1327679640,,,,,,,
1327714380,,,,,,,
1327747440,,,,,,,
1327753980,,,,,,,
1327766160,,,,,,,
1327786860,,,,,,,
1327792020,,,,,,,
1327876920,,,,,,,
1327905180,,,,,,,
1327910280,,,,,,,
1327911120,,,,,,,
1327914780,,,,,,,
1327977480,,,,,,,
1327982940,,,,,,,
1327988760,,,,,,,
1328006460,,,,,,,
1328007360,,,,,,,
1328053920,,,,,,,
1328071800,,,,,,,
1328108580,,,,,,,
1328143380,,,,,,,
1328149680,,,,,,,
1328185260,,,,,,,
1328226120,,,,,,,
1328248800,,,,,,,
1328310540,,,,,,,
1328382060,,,,,,,
1328393040,,,,,,,
1328486940,,,,,,,
1328529360,,,,,,,
1328552640,,,,,,,
1328572080,,,,,,,
1328607300,,,,,,,
1328629020,,,,,,,
1328640180,,,,,,,
1328643900,,,,,,,
1328659740,,,,,,,
1328735460,,,,,,,
1328736600,,,,,,,
1328739120,,,,,,,
1328760900,,,,,,,
1328810880,,,,,,,
1328811420,,,,,,,
1328918460,,,,,,,
1328960400,,,,,,,
1328976120,,,,,,,
1329005820,,,,,,,
1329042780,,,,,,,
1329063960,,,,,,,
1329118980,,,,,,,
1329167760,,,,,,,
1329240300,,,,,,,
1329264660,,,,,,,
1329267000,,,,,,,
1329313440,,,,,,,
1329333360,,,,,,,
1329345180,,,,,,,
1329351420,,,,,,,
1329356580,,,,,,,
1329387060,,,,,,,
1329421080,,,,,,,
1329441720,,,,,,,
1329470220,,,,,,,
1329475380,,,,,,,
1329480060,,,,,,,
1329595320,,,,,,,
1329612300,,,,,,,
1329641160,,,,,,,
1329645300,,,,,,,
1329656340,,,,,,,
1329663840,,,,,,,
1329690240,,,,,,,
1329812820,,,,,,,
1329817860,,,,,,,
1329886920,,,,,,,
1329930600,,,,,,,
1330000680,,,,,,,
1330002960,,,,,,,
1330104120,,,,,,,
1330125300,,,,,,,
1330130700,,,,,,,
1330132800,,,,,,,
1330151640,,,,,,,
1330186740,,,,,,,
1330218180,,,,,,,
1330275180,,,,,,,
1330341660,,,,,,,
1330371780,,,,,,,
1330381620,,,,,,,
1330392960,,,,,,,
1330404840,,,,,,,
1330443180,,,,,,,
1330466820,,,,,,,
1330473960,,,,,,,
1330492380,,,,,,,
1330519920,,,,,,,
1330590060,,,,,,,
1330638660,,,,,,,
1330785480,,,,,,,
1330827960,,,,,,,
1330870620,,,,,,,
1330884900,,,,,,,
1330901580,,,,,,,
1330946580,,,,,,,
1330965300,,,,,,,
1330984440,,,,,,,
1330997520,,,,,,,
1331008320,,,,,,,
1331016120,,,,,,,
1331049600,,,,,,,
1331055060,,,,,,,
1331058960,,,,,,,
1331063220,,,,,,,
1331089080,,,,,,,
1331131860,,,,,,,
1331147400,,,,,,,
1331184720,,,,,,,
1331197260,,,,,,,
1331230560,,,,,,,
1331239980,,,,,,,
1331257020,,,,,,,
1331264220,,,,,,,
1331277360,,,,,,,
1331314740,,,,,,,
1331380560,,,,,,,
1331401020,,,,,,,
1331428380,,,,,,,
1331432520,,,,,,,
1331489220,,,,,,,
1331569500,,,,,,,
1331572560,,,,,,,
1331598660,,,,,,,
1331603340,,,,,,,
1331658300,,,,,,,
1331665260,,,,,,,
1331683260,,,,,,,
1331685480,,,,,,,
1331708460,,,,,,,
1331710680,,,,,,,
1331713920,,,,,,,
1331729580,,,,,,,
1331748900,,,,,,,
1331799600,,,,,,,
1331807160,,,,,,,
1331918280,,,,,,,
1332009720,,,,,,,
1332043380,,,,,,,
1332073980,,,,,,,
1332079920,,,,,,,
1332168060,,,,,,,
1332170460,,,,,,,
1332179880,,,,,,,
1332194280,,,,,,,
1332311280,,,,,,,
1332322620,,,,,,,
1332411600,4.94,4.94,4.94,4.94,28.24898785,139.54999998,4.94
1332429660,,,,,,,
1332439560,,,,,,,
1332513480,,,,,,,
1332517320,,,,,,,
1332522120,,,,,,,
1332561240,,,,,,,
1332598020,,,,,,,
1332598920,,,,,,,
1332610080,,,,,,,
1332647940,,,,,,,
1332648840,,,,,,,
1332653700,,,,,,,
1332659100,,,,,,,
